magnitude,cdi,mmi,alert,tsunami,sig,net,dmin,gap,depth
7.0,9,9,red,1,2074,us,0.349,32.0,10.0
6.9,6,6,yellow,0,903,us,3.001,14.0,136.0
6.6,6,4,green,0,738,us,0.789,17.0,212.0
6.7,7,5,green,1,692,us,6.787,25.0,27.59
6.7,7,6,green,1,691,us,6.697,19.0,24.0
6.9,7,6,green,1,734,us,1.166,25.0,26.0
7.8,4,3,green,0,948,us,7.009,20.0,24.0
7.2,3,7,green,1,799,us,0.958,17.0,177.0
7.1,7,7,green,1,1496,ak,0.0,0.0,125.6
6.6,3,4,green,1,673,us,2.413,74.0,10.0
6.7,5,6,green,1,717,us,0.281,22.0,46.0
6.5,3,6,green,1,651,us,3.144,22.0,13.0
6.7,8,7,orange,0,1515,us,1.794,16.0,55.0
6.6,8,6,green,1,765,us,0.41,35.0,85.0
6.9,8,5,green,0,738,us,2.979,14.0,21.0
7.2,4,7,green,0,827,us,1.116,18.0,22.0
6.7,2,3,green,0,691,us,2.033,19.0,602.75
7.6,5,4,green,0,896,us,2.852,10.0,620.56
7.6,6,5,green,1,957,us,3.287,10.0,606.21
6.8,5,6,green,1,715,us,1.599,19.0,12.59
6.5,7,7,orange,0,1018,us,0.0,0.0,11.0
6.7,5,4,green,0,702,us,1.444,17.0,12.0
6.9,5,6,green,0,744,us,0.821,43.0,10.0
6.9,6,6,green,1,761,us,0.784,32.0,12.0
6.6,7,4,green,0,675,us,2.792,31.0,10.0
6.8,7,7,green,1,841,us,0.258,41.0,46.0
6.5,5,7,green,0,657,us,1.53,21.0,20.0
7.5,8,7,orange,0,1448,us,0.622,18.0,231.0
7.1,6,6,green,1,780,us,0.592,11.0,135.0
6.6,7,7,green,0,671,us,2.486,13.0,18.0
6.6,5,7,green,1,820,us,1.064,14.0,35.0
6.7,5,7,green,0,718,us,0.853,35.0,23.0
6.5,6,7,green,0,657,us,0.749,62.0,27.0
7.0,8,7,green,0,799,us,0.903,13.0,28.41
8.3,9,8,orange,1,1960,us,0.684,19.0,22.44
6.7,5,5,green,1,708,us,1.256,123.0,10.0
6.5,0,5,green,1,650,us,2.045,16.0,6.43
6.6,3,5,green,1,671,us,1.872,20.0,22.0
7.0,9,7,green,1,762,us,6.278,12.0,48.0
6.9,4,7,green,1,734,us,0.444,39.0,29.0
7.0,8,6,green,1,759,us,5.205,22.0,11.0
6.5,4,4,green,1,686,us,1.218,20.0,20.0
6.7,4,5,green,1,691,us,1.529,11.0,12.0
6.5,3,4,green,0,652,us,2.277,11.0,460.0
7.8,6,3,green,1,1151,us,1.675,12.0,664.0
6.8,5,6,green,1,762,ak,0.0,0.0,72.6
6.8,1,5,green,1,711,us,3.619,18.0,10.0
6.9,1,4,green,1,732,us,4.024,22.0,11.19
6.8,1,4,green,1,711,us,4.395,15.0,11.0
6.8,8,6,green,1,831,us,1.422,8.0,35.0
7.3,8,7,orange,0,1563,us,0.677,11.0,15.0
7.1,1,6,green,1,776,us,3.835,11.0,10.0
7.5,7,8,green,1,869,us,1.295,22.0,55.0
6.8,5,6,green,1,714,us,1.074,23.0,44.0
6.7,5,6,green,1,692,us,1.239,12.0,31.0
6.7,7,7,yellow,0,1016,us,0.727,13.0,22.91
6.6,8,7,yellow,0,733,us,1.778,16.0,10.0
7.8,8,9,red,0,2820,us,1.857,12.0,8.22
6.5,0,5,green,1,650,us,3.702,42.0,10.0
6.5,2,5,green,1,650,us,4.629,36.0,11.0
7.5,6,7,green,1,872,us,0.666,19.0,41.0
7.0,4,6,green,0,760,us,1.362,12.0,552.06
6.7,5,5,green,1,714,us,1.925,20.0,23.0
6.7,4,6,green,1,700,us,2.11,16.0,223.0
6.8,1,4,green,1,711,us,2.019,13.0,219.96
6.5,1,4,green,1,650,us,4.318,61.0,8.0
6.6,7,6,green,1,709,us,2.485,43.0,20.0
6.6,1,5,green,1,670,us,3.246,12.0,23.0
6.6,1,3,green,0,670,us,2.6,9.0,614.0
6.8,6,5,green,1,713,us,1.421,19.0,39.0
6.5,5,5,green,1,652,us,1.549,9.0,35.0
6.7,7,4,green,1,698,us,1.079,25.0,22.0
7.1,4,6,green,1,779,us,1.397,18.0,45.0
6.6,2,6,green,1,671,us,3.557,13.0,53.19
7.1,3,6,green,1,776,us,4.415,13.0,434.0
7.3,8,6,yellow,1,982,us,1.078,18.0,40.0
6.7,5,5,green,1,724,us,0.46,11.0,130.0
6.8,6,6,green,1,741,us,4.107,18.0,101.0
6.9,0,4,green,1,732,us,6.393,12.0,13.0
6.9,0,6,green,1,732,us,3.934,15.0,615.42
6.5,5,4,green,1,706,us,2.421,9.0,20.0
6.9,8,7,orange,1,1079,us,0.263,51.0,53.0
6.5,0,4,green,1,650,us,2.124,15.0,20.0
6.7,0,5,green,1,691,us,6.713,45.0,18.0
